	

    Time    Volt    Ampere
    0.00445 9.75917 0.147783
    0.0045  9.76917 0.147592
    0.00455 9.77    0.147258
    0.0046  9.75917 0.147242
    0.00465 9.77167 0.147442
    0.0047  9.755   0.147325
    0.00475 9.76417 0.147008
    0.0048  9.77    0.147108
    0.00485 9.77    0.147333
    0.0049  9.765   0.147425
    0.00495 9.75667 0.147492
    0.005   9.775   0.14755
    0.00505 9.76333 0.147567
    0.0051  9.77333 0.147642
    0.00515 9.76083 0.147533
    0.0052  9.7625  0.147158
    0.00525 9.76    0.147358
    0.0053  9.76833 0.147625
    0.00535 9.77917 0.147325
    0.0054  9.765   0.147058
    0.00545 9.76417 0.147192
    0.0055  9.76    0.147392
    0.00555 9.7725  0.147467
    0.0056  9.77333 0.147417
    0.00565 9.76833 0.147342
    0.0057  9.77333 0.14745
    0.00575 9.76167 0.147533
    0.0058  9.7725  0.147275
    0.00585 9.7675  0.147275
    0.0059  9.76833 0.147575
    0.00595 9.76    0.147683
    0.006   9.75917 0.14735
    0.00605 9.77167 0.147242
    0.0061  9.76167 0.147383
    0.00615 9.77333 0.147433
    0.0062  9.7575  0.147383
    0.00625 9.76    0.147133
    0.0063  9.75833 0.147183
    0.00635 9.76833 0.147467
    0.0064  9.77333 0.147417
    0.00645 9.75583 0.147133
    0.0065  9.765   0.14725
    0.00655 9.75833 0.147417
    0.0066  9.77083 0.147308
    0.00665 9.77167 0.1473
    0.0067  9.76917 0.14725
    0.00675 9.76333 0.147442
    0.0068  9.74917 0.147592
    0.00685 9.76833 0.147433
    0.0069  9.7725  0.147217
    0.00695 9.77333 0.147442
    0.007   9.76083 0.147725
    0.00705 9.76167 0.147567
    0.0071  9.765   0.147467
    0.00715 9.76    0.147775
    0.0072  9.775   0.147692
    0.00725 9.76    0.147392
    0.0073  9.76167 0.147133
    0.00735 9.76    0.147108
    0.0074  9.76917 0.147292
    0.00745 9.77333 0.14735
    0.0075  9.76    0.147125
    0.00755 9.7625  0.147117
    0.0076  9.755   0.147467
    0.00765 9.7725  0.147567
    0.0077  9.76917 0.1475
    0.00775 9.7675  0.147575
    0.0078  9.7625  0.147733
    0.00785 9.74833 0.147783
    0.0079  9.76917 0.147717
    0.00795 9.76917 0.1474
    0.008   9.77333 0.147433
    0.00805 9.75833 0.147525
    0.0081  9.76083 0.147358
    0.00815 9.76333 0.147
    0.0082  9.76167 0.147033
    0.00825 9.77167 0.14725
    0.0083  9.76    0.147183
    0.00835 9.7625  0.14725
    0.0084  9.75917 0.1473
    0.00845 9.77083 0.1474
    0.0085  9.77    0.147658
    0.00855 9.7575  0.14765
    0.0086  9.76833 0.147408
    0.00865 9.75667 0.147667
    0.0087  9.77167 0.147842
    0.00875 9.76833 0.147492
    0.0088  9.77083 0.147225
    0.00885 9.75833 0.147317
    0.0089  9.7525  0.147358
    0.00895 9.77583 0.1473
    0.009   9.76667 0.147067
    0.00905 9.77167 0.14715
    0.0091  9.76    0.147383
    0.00915 9.76167 0.147567
    0.0092  9.7625  0.147492
    0.00925 9.7675  0.147417
    0.0093  9.78333 0.147658
    0.00935 9.76167 0.14765
    0.0094  9.7625  0.147383
    0.00945 9.76    0.147433
    0.0095  9.77167 0.147583
    0.00955 9.775   0.14765
    0.0096  9.76167 0.14755
    0.00965 9.76917 0.1472
    0.0097  9.75667 0.147225
    0.00975 9.77333 0.147417
    0.0098  9.76833 0.14735
    0.00985 9.76917 0.147175
    0.0099  9.76    0.14735
    0.00995 9.7525  0.147567
    0.01    9.77333 0.147408
    0.01005 9.77    0.147258
    0.0101  9.77333 0.14745
    0.01015 9.76    0.147533
    0.0102  9.76083 0.147575
    0.01025 9.76583 0.147442
    0.0103  9.76167 0.147158
    0.01035 9.7725  0.147458
    0.0104  9.76    0.14775
    0.01045 9.76333 0.147592
    0.0105  9.76    0.147475
    0.01055 9.76917 0.147642
    0.0106  9.77333 0.147658
    0.01065 9.75583 0.147375
    0.0107  9.7625  0.147167
    0.01075 9.75917 0.147217
    0.0108  9.77167 0.147283
    0.01085 9.76833 0.147367
    0.0109  9.76833 0.147183
    0.01095 9.76167 0.147167
    0.011   9.7525  0.147483
    0.01105 9.76917 0.147658
    0.0111  9.7675  0.147392
    0.01115 9.775   0.147383
    0.0112  9.75833 0.147683
    0.01125 9.75917 0.147683
    0.0113  9.76833 0.147675
    0.01135 9.76083 0.147608
    0.0114  9.77583 0.147608
    0.01145 9.75833 0.147692
    0.0115  9.76333 0.147458
    0.01155 9.76167 0.146908
    0.0116  9.77167 0.14695
    0.01165 9.77667 0.147092
    0.0117  9.75917 0.147067
    0.01175 9.765   0.146983
    0.0118  9.7625  0.147108
    0.01185 9.775   0.147367
    0.0119  9.77167 0.147542
    0.01195 9.7675  0.147733
    0.012   9.76917 0.147617
    0.01205 9.75167 0.14765
    0.0121  9.77333 0.147908
    0.01215 9.77    0.147683
    0.0122  9.7775  0.147333
    0.01225 9.7625  0.14755
    0.0123  9.76    0.147533
    0.01235 9.77333 0.147283
    0.0124  9.7625  0.147025
    0.01245 9.775   0.147042
    0.0125  9.76167 0.147217
    0.01255 9.76083 0.147358
    0.0126  9.765   0.147375
    0.01265 9.765   0.1473
    0.0127  9.77917 0.147533
    0.01275 9.7625  0.147792
    0.0128  9.76167 0.147483
    0.01285 9.75667 0.147375
    0.0129  9.77167 0.147708
    0.01295 9.77    0.1477
    0.013   9.76833 0.147517
    0.01305 9.77417 0.147233
    0.0131  9.7625  0.147217
    0.01315 9.77    0.147408
    0.0132  9.7725  0.147367
    0.01325 9.77167 0.14695
    0.0133  9.76    0.146983
    0.01335 9.75917 0.147325
    0.0134  9.77583 0.147317
    0.01345 9.7675  0.14715
    0.0135  9.77667 0.147308
    0.01355 9.7625  0.147542
    0.0136  9.7625  0.1475
    0.01365 9.76167 0.147383
    0.0137  9.765   0.147258
    0.01375 9.78083 0.147425
    0.0138  9.76417 0.147708
    0.01385 9.76083 0.147633
    0.0139  9.75833 0.147258
    0.01395 9.77083 0.14755
    0.014   9.77167 0.147708
    0.01405 9.7625  0.147475
    0.0141  9.77083 0.147392
    0.01415 9.7525  0.147517
    0.0142  9.76917 0.147433
    0.01425 9.76833 0.147375
    .147617
    0.02145 9.76083 0.147917
    0.0215  9.7575  0.147467
    0.02155 9.77083 0.147342
    0.0216  9.77167 0.147533
    0.02165 9.76917 0.1475
    0.0217  9.76167 0.14745
    0.02175 9.7525  0.1473
    0.0218  9.765   0.147417
    0.02185 9.7675  0.147508
    0.0219  9.77167 0.147367
    0.02195 9.76    0.147117
    0.022   9.7575  0.147108
    0.02205 9.76583 0.147433
    0.0221  9.76083 0.14745
    0.02215 9.77083 0.147233
    0.0222  9.75667 0.147317
    0.02225 9.76    0.14745
    0.0223  9.75917 0.1475
    0.02235 9.77167 0.14765
    0.0224  9.77083 0.147583
    0.02245 9.755   0.147617
    0.0225  9.77    0.14775
    0.02255 9.755   0.147433
    0.0226  9.77167 0.147217
    0.02265 9.76917 0.147425
    0.0227  9.7675  0.147508
    0.02275 9.75833 0.147425
    0.0228  9.75583 0.14725
    0.02285 9.78167 0.5 9.76083 0.147067
    0.0286  9.76083 0.147325
    0.02865 9.76917 0.147442
    0.0287  9.77667 0.147508
    0.02875 9.75167 0.147517
    0.0288  9.76167 0.147508
    0.02885 9.7575  0.147642
    0.0289  9.7725  0.147642
    0.02895 9.76833 0.147192
    0.029   9.76417 0.147325
    0.02905 9.76333 0.147708
    0.0291  9.75    0.147717
    0.02915 9.77    0.147592
    0.0292  9.77    0.147433
    0.02925 9.77083 0.14755
    0.0293  9.75833 0.147708
    0.02935 9.75917 0.147692
    0.0294  9.76917 0.147625
    0.02945 9.76    0.147642
    0.0295  9.775   0.147708
    0.02955 9.75583 0.147433
    0.0296  9.76167 0.147083
    0.02965 9.75917 0.147275
    0.0297  9.77167 0.147417
    0.02975 9.775   0.147292
    0.0298  9.75333 0.14725
    0.02985 9.76083 0.1473
    0.0299  9.75833 0.147525
    0.02995 9.76917 0.147742
    0.03    9.77083 0.147733
    0.03005 9.76083 0.147625
    0.0301  9.76333 0.147833
    0.03015 9.74833 0.1478
    0.0302  9.77333 0.147483
    0.03025 9.76833 0.147292
    0.0303  9.77083 0.147458
    0.03035 9.75667 0.147467
    0.0304  9.75583 0.147358
    0.03045 9.77583 0.147175
    0.0305  9.76333 0.147067
    0.03055 9.77167 0.147275
    0.0306  9.75667 0.1474
    0.03065 9.76083 0.147258
    0.0307  9.76    0.147308
    0.03075 9.76833 0.1477
    0.0308  9.77917 0.147733
    0.03085 9.76    0.147567
    0.0309  9.76167 0.147583
    0.03095 9.76    0.14765
    0.031   9.775   0.147633
    0.03105 9.77    0.147517
    0.0311  9.76167 0.147217
    0.03115 9.76833 0.147275
    0.0312  9.76    0.14745
    0.03125 9.76917 0.14725
    0.0313  9.76583 0.147008
    0.03135 9.76583 0.147167
    0.0314  9.75833 0.147483
    0.03145 9.7525  0.147567
    0.0315  9.77417 0.147567
    0.03155 9.76667 0.147733
    0.0316  9.77    0.147808
    0.03165 9.755   0.147792
    0.0317  9.75917 0.147692
    0.03175 9.76    0.1474
    0.0318  9.7675  0.147642
    0.03185 9.78083 0.1478
    0.0319  9.75583 0.147392
    0.03195 9.76    0.14725
    0.032   9.75667 0.147358
    0.03205 9.77167 0.147442
    0.0321  9.77    0.147358
    0.03215 9.75833 0.147158
    0.0322  9.77    0.14725
    0.03225 9.75583 0.147375
    0.0323  9.77    0.147417
    0.03235 9.765   0.147267
    0.0324  9.76333 0.14735
    0.03245 9.755   0.147717
    0.0325  9.75417 0.1478
    0.03255 9.77167 0.14745
    0.0326  9.76667 0.147492
    0.03265 9.76917 0.147617
    0.0327  9.75667 0.147517
    0.03275 9.76083 0.14745
    0.0328  9.76167 0.147225
    0.03285 9.765   0.147375
    0.0329  9.77583 0.1476
    0.03295 9.755   0.147367
    0.033   9.76167 0.14705
    0.03305 9.75667 0.147183
    0.0331  9.76833 0.1473
    0.03315 9.765   0.147217
    0.0332  9.76167 0.147083
    0.03325 9.765   0.147317
    0.0333  9.74833 0.147533
    0.03335 9.77167 0.14765
    0.0334  9.76917 0.147567
    0.03345 9.7675  0.147425
    0.0335  9.75833 0.147625
    0.03355 9.7575  0.147842
    0.0336  9.77167 0.147608
    0.03365 9.76083 0.147492
    0.0337  9.76833 0.147725
    0.03375 9.75583 0.147525
    0.0338  9.7625  0.147317
    0.03385 9.76167 0.147192
    0.0339  9.7725  0.14715
    0.03395 9.77    0.147333
    0.034   9.75167 0.147317
    0.03405 9.76333 0.147033
    0.0341  9.7575  0.147133
    0.03415 9.77083 0.147433
    0.0342  9.765   0.147625
    0.03425 9.76083 0.147617
    0.0343  9.75833 0.147733
    0.03435 9.74917 0.147783
    0.0344  9.765   0.147583
    0.03445 9.76583 0.147483
    0.0345  9.7675  0.1473
    0.03455 9.75833 0.14735
    0.0346  9.75917 0.147658
    0.03465 9.76667 0.147417
    0.0347  9.76083 0.147058
    0.03475 9.76583 0.147083
    0.0348  9.76083 0.147183
    0.03485 9.75833 0.147183
    0.0349  9.7625  0.1472
    0.03495 9.76833 0.147333
    0.035   9.77167 0.147542
    0.03505 9.75167 0.147675
    0.0351  9.75833 0.147642
    0.03515 9.75833 0.147575
    0.0352  9.77167 0.147808
    0.03525 9.765   0.147908
    0.0353  9.76083 0.147517
    0.03535 9.76    0.147258
    0.0354  9.74667 0.147433
    0.03545 9.76917 0.147433
    0.0355  9.76833 0.147242
    0.03555 9.765   0.147017
    0.0356  9.75417 0.147033
    0.03565 9.75583 0.1473
    0.0357  9.77    0.147517
    0.03575 9.75833 0.1473
    0.0358  9.76833 0.147333
    0.03585 9.755   0.147658
    0.0359  9.76083 0.1475830.0428  9.77167 0.147492
    0.04285 9.76667 0.147817
    0.0429  9.76083 0.147683
    0.04295 9.7625  0.14725
    0.043   9.74833 0.147275
    0.04305 9.77    0.147442
    0.0431  9.76333 0.147517
    0.04315 9.7675  0.147408
    0.0432  9.755   0.147067
    0.04325 9.75917 0.147225
    0.0433  9.76833 0.147542
    0.04335 9.755   0.147517
    0.0434  9.77167 0.147375
    0.04345 9.75167 0.147558
    0.0435  9.76167 0.14775
    0.04355 9.76167 0.147525
    0.0436  9.76583 0.147358
    0.04365 9.76833 0.147625
    0.0437  9.74667 0.147783
    0.04375 9.75667 0.147892
    0.0438  9.75417 0.147783
    0.04385 9.76917 0.1474
    0.0439  9.765   0.147483
    0.04395 9.76083 0.147625
    0.044   9.76167 0.147475
    0.04405 9.74667 0.147358
    0.0441  9.77167 0.147467
    0.04415 9.76667 0.14735
    0.0442  9.7675  0.147175
    0.04425 9.75667 0.147083
    0.0443  9.76    0.147233
    0.04435 9.77167 0.147417
    0.0444  9.76    0.147542
    0.04445 9.77    0.147217
    0.0445  9.75417 0.147117
    0.04455 9.76    0.147458
    0.0446  9.76083 0.1476
    0.04465 9.76333 0.147483
    0.0447  9.77083 0.1474
    0.04475 9.7475  0.14755
    0.0448  9.7625  0.147475
    0.04485 9.75667 0.147467
    0.0449  9.7725  0.147333
    0.04495 9.7675  0.147367
    0.045   9.76083 0.147483
    0.04505 9.76333 0.147308
    0.0451  9.7525  0.146917
    0.04515 9.77167 0.147125
    0.0452  9.76583 0.147492
    0.04525 9.76833 0.1474
    0.0453  9.75833 0.147325
    0.04535 9.75583 0.147392
    0.0454  9.77083 0.147592
    0.04545 9.76    0.147733
    0.0455  9.76833 0.147725
    0.04555 9.75167 0.147633
    0.0456  9.76    0.147683
    0.04565 9.76167 0.147833
    0.0457  9.76917 0.14755
    0.04575 9.77167 0.147175
    0.0458  9.75167 0.147367
    0.04585 9.76083 0.147383
    0.0459  9.7575  0.147142
    0.04595 9.77    0.147067
    0.046   9.76667 0.147117
    0.04605 9.76083 0.147367
    0.0461  9.76083 0.147667
    0.04615 9.745   0.147567
    0.0462  9.77167 0.147642
    0.04625 9.765   0.147833
    0.0463  9.76833 0.147742
    0.04635 9.75333 0.147508
    0.0464  9.75417 0.147433
    0.04645 9.77083 0.147608
    0.0465  9.76    0.1475
    0.04655 9.76917 0.147283
    0.0466  9.75583 0.147125
    0.04665 9.76083 0.147125
    0.0467  9.76167 0.1473
    0.04675 9.77    0.147375
    0.0468  9.7725  0.147125
    0.04685 9.75    0.147458
    0.0469  9.75833 0.147725
    0.04695 9.75667 0.147558
    0.047   9.77333 0.147417
    0.04705 9.77167 0.147533
    0.0471  9.76083 0.147733
    0.04715 9.7625  0.147692
    0.0472  9.75167 0.147433
    0.04725 9.77167 0.147317
    0.0473  9.76417 0.147425
    0.04735 9.765   0.147567
    0.0474  9.755   0.147408
    0.04745 9.75583 0.14705
    0.0475  9.7725  0.147383
    0.04755 9.76417 0.147483
    0.0476  9.76833 0.147275
    0.04765 9.755   0.147283
    0.0477  9.75917 0.147517
    0.04775 9.76167 0.147617
    0.0477    0.147625
    0.04995 9.77333 0.147325
    0.05    9.74833 0.147042
    0.05005 9.76    0.147117
    0.0501  9.76    0.147275
    0.05015 9.77167 0.147183
    0.0502  9.76667 0.146917
    0.05025 9.76083 0.147083
    0.0503  9.76167 0.147483
    0.05035 9.74833 0.147483
    0.0504  9.77167 0.147292
    0.05045 9.76417 0.147542
    0.0505  9.765   0.147608
    0.05055 9.755   0.147517
    0.0506  9.7575  0.147583
    0.05065 9.77083 0.147483
    0.0507  9.75667 0.1476
    0.05075 9.77167 0.147717
    0.0508  9.7525  0.147367
    0.05085 9.76083 0.147167
    0.0509  9.76417 0.147367
    0.05095 9.76917 0.147483
    0.051   9.76917 0.147358
    0.05105 9.74667 0.147342
    0.0511  9.75833 0.147517
    0.05115 9.76    0.147583
    0.0512  9.7725  0.14755
    0.05125 9.76583 0.147508
    0.0513  9.75917 0.147567
    0.05135 9.75833 0.147792
    0.0514  9.74833 0.147883
    0.05145 9.76667 0.147517
    0.0515  9.76333 0.147433
    0.05155 9.76417 0.147642
    0.0516  9.75583 0.147508
    0.05165 9.76333 0.147375
    0.0517  9.76583 0.14735
    0.05175 9.75833 0.147325
    0.0518  9.765   0.147483
    0.05185 9.75583 0.147367
    0.0519  9.75833 0.147142
    0.05195 9.76    0.147317
    0.052   9.76917 0.147483
    0.05205 9.7675  0.147325
    0.0521  9.7525  0.147142
    0.05215 9.76833 0.147383
    0.0522  9.75833 0.14755
    0.05225 9.77083 0.147517
    0.0523  9.76333 0.14745
    0.05235 9.76    0.147375
    0.0524  9.75667 0.1475
    0.05245 9.75583 0.147833
    0.0525  9.78    0.147717
    0.05255 9.765   0.147433
    0.0526  9.7675  0.147617
    0.05265 9.75333 0.147517
    0.0527  9.76083 0.147125
    0.05275 9.765   0.147075
    0.0528  9.7675  0.14725
    0.05285 9.77    0.147542
    0.0529  9.75083 0.14745
    0.05295 9.76    0.147183
    0.053   9.76083 0.147258
    0.05305 9.7725  0.147558
    0.0531  9.76667 0.147717
    0.05315 9.7575  0.147625
    0.0532  9.76583 0.147667
    0.05325 9.755   0.147833
    0.0533  9.77333 0.147642
    0.05335 9.76333 0.147383
    0.0534  9.7625  0.147325
    0.05345 9.755   0.147433
    0.0535  9.75917 0.147592
    0.05355 9.77833 0.147458
    0.0536  9.76    0.147025
    0.05365 9.76833 0.147192
    0.0537  9.75167 0.147442
    0.05375 9.76083 0.147475
    0.0538  9.76833 0.147458
    0.05385 9.76833 0.147683
    0.0539  9.77167 0.147817
    0.05395 9.74667 0.14775
    0.054   9.76083 0.147542
    0.05405 9.75917 0.147467
    0.0541  9.775   0.147617
    0.05415 9.76417 0.147725
    0.0542  9.7575  0.147383
    0.05425 9.76333 0.146983
    0.0543  9.75    0.147333
    0.05435 9.76833 0.147458
    0.0544  9.7625  0.147225
    0.05445 9.76333 0.147208
    0.0545  9.75417 0.147375
    0.05455 9.7625  0.147458
    0.0546  9.77    0.147583
    0.05465 9.75667 0.147425
    0.0547  9.76417 0.147633
    0.05475 9.75167 0.147917
    0.0548  9.76    0.147842
    0.05485 9.76583 0.147583
    0.0549  9.76583 0.147533
    0.05495 9.765   0.147617
    0.055   9.74917 0.147542
    0.05505 9.76083 0.14735
    0.0551  9.76083 0.147225
    0.05515 9.77583 0.147308
    0.0552  9.76167 0.147442
    0.05525 9.7575  0.147542
    0.0553  9.75833 0.147283
    0.05535 9.75583 0.147442
    0.0554  9.77917 0.147642
    0.05545 9.76083 0.1473
    0.0555  9.76333 0.147175
    0.05555 9.75667 0.147442
    0.0556  9.76333 0.147483
    0.05565 9.765   0.147667
    0.0557  9.76333 0.147483
    0.05575 9.76833 0.147425
    0.0558  9.755   0.147583
    0.05585 9.76167 0.147692
    0.0559  9.75917 0.14765
    0.05595 9.77167 0.147575
    0.056   9.7675  0.147717
    0.05605 9.755   0.147625
    0.0561  9.77167 0.147283
    0.05615 9.7625  0.147183
    0.0562  9.77333 0.147292
    0.05625 9.75917 0.147233
    0.0563  9.7625  0.147308
    0.05635 9.75833 0.147167
    0.0564  9.76    0.147283
    0.05645 9.78083 0.14775
    0.0565  9.7625  0.147867
    0.05655 9.76333 0.147658
    0.0566  9.74917 0.14765
    0.05665 9.7625  0.1477
    0.0567  9.76667 0.147733
    0.05675 9.76167 0.147642
    0.0568  9.76917 0.147533
    0.05685 9.75083 0.147525
    0.0569  9.7625  0.147467
    0.05695 9.76333 0.147292
    0.057  0.147717
    0.107   9.7675  0.147817
    0.10705 9.77    0.1477
    0.1071  9.76167 0.147683
    0.10715 9.76667 0.147742
    0.1072  9.74667 0.147767
    0.10725 9.7625  0.1477
    0.1073  9.765   0.14735
    0.10735 9.76833 0.147275
    0.1074  9.76167 0.147433
    0.10745 9.75583 0.1474
    0.1075  9.7675  0.147217
    0.10755 9.75833 0.147208
    0.1076  9.77167 0.1474
    0.10765 9.75667 0.147425
    0.1077  9.76    0.147517
    0.10775 9.755   0.147525
    0.1078  9.76583 0.147592
    0.10785 9.77167 0.147742
    0.1079  9.7525  0.147642
    0.10795 9.75917 0.1473
    0.108   9.75167 0.147525
    0.10805 9.76917 0.147733
    0.1081  9.76667 0.147525
    0.10815 9.76583 0.147258
    0.1082  9.76167 0.147267
    0.10825 9.745   0.147375
    0.1083  9.765   0.147425
    0.10835 9.76417 0.147375
    0.1084  9.77083 0.147325
    0.10845 9.76    0.14745
    0.1085  9.75583 0.147683
    0.10855 9.76333 0.147483
    0.1086  9.755   0.147283
    0.10865 9.77417 0.147592
    0.1087  9.7575  0.147717
    0.10875 9.75833 0.147467
    0.1088  9.755   0.147408
    0.10885 9.76583 0.147467
    0.1089  9.77583 0.147625
    0.10895 9.75833 0.147783
    0.109   9.7625  0.147633
    0.10905 9.75417 0.1477
    0.1091  9.76583 0.147842
    0.10915 9.765   0.147717
    0.1092  9.76333 0.147375
    0.10925 9.76667 0.14735
    0.1093  9.745   0.147508
    0.10935 9.76583 0.1474
    0.1094  9.7625  0.147158
    0.10945 9.77083 0.147208
    0.1095  9.75667 0.147358
    0.10955 9.75833 0.147625
    0.1096  9.76417 0.147658
    0.10965 9.75833 0.147325
    0.1097  9.77333 0.1476
    0.10975 9.76083 0.147783
    0.1098  9.75833 0.147675
    0.10985 9.755   0.147525
    0.1099  9.76667 0.147667
    0.10995 9.775   0.147625
    0.11    9.7525  0.147375
    0.11005 9.76083 0.147183
    0.1101  9.75167 0.147083
    0.11015 9.7675  0.147217
    0.1102  9.76917 0.147383
    0.11025 9.76417 0.147283
    0.1103  9.76583 0.147108
    0.11035 9.74667 0.147475
    0.1104  9.765   0.147717
    0.11045 9.76417 0.147692
    0.1105  9.7675  0.147567
    0.11055 9.75667 0.147683
    0.1106  9.755   0.147592
    0.11065 9.76583 0.147575
    0.1107  9.76167 0.147392
    0.11075 9.77    0.147342
    0.1108  9.75667 0.147525
    0.11085 9.7575  0.147425
    0.1109  9.7575  0.146992
    0.11095 9.76083 0.147
    0.111   9.77917 0.147275
    0.11105 9.76167 0.147442
    0.1111  9.7625  0.147442
    0.11115 9.74917 0.147567
    0.1112  9.76    0.147667
    0.11125 9.76833 0.14775
    0.1113  9.7625  0.147767
    0.11135 9.77    0.147575
    0.1114  9.75417 0.147675
    0.11145 9.76917 0.147967
    0.1115  9.76583 0.147667
    0.11155 9.76833 0.147192
    0.1116  9.76    0.1473
    0.11165 9.74833 0.147483
    0.1117  9.77167 0.147467
    0.11175 9.76083 0.147442
    0.1118  9.76833 0.147317
    0.11185 9.755   0.147442
    0.1119  9.75583 0.147583
    0.11195 9.75833 0.147467
    0.112   9.76083 0.147375
    0.11205 9.77833 0.1476
    0.1121  9.75833 0.147758
    0.11215 9.76    0.147458
    0.1122  9.75583 0.147208
    0.11225 9.76333 0.147533
    0.1123  9.7675  0.1476
    0.11235 9.75583 0.147458
    0.1124  9.76833 0.147333
    0.11245 9.75    0.147167
    0.1125  9.765   0.147308
    0.11255 9.76167 0.147367
    0.1126  9.76583 0.147267
    0.11265 9.75833 0.147333
    0.1127  9.74667 0.147575
    0.11275 9.76833 0.147467
    0.1128  9.76    0.147142
    0.11285 9.77167 0.147142
    0.1129  9.75833 0.1474
    0.11295 9.75833 0.147567
    0.113   9.75917 0.147492
    0.11305 9.7575  0.147442
    0.1131  9.77417 0.147517
    0.11315 9.75833 0.147783
    0.1132  9.75833 0.147767
    0.11325 9.7525  0.147592
    0.1133  9.76167 0.147683
    0.11335 9.77    0.147833
    0.1134  9.75417 0.147475
    0.11345 9.76    0.147292
    0.1135  9.75167 0.147292
    0.11355 9.7625  0.147342
    0.1136  9.76667 0.147342
    0.11365 9.76667 0.147242
    0.1137  9.76167 0.147058
    0.11375 9.74583 0.147458
    0.1138  9.75917 0.14775
    0.11385 9.765   0.147758
    0.1139  9.77083 0.147725
    0.11395 9.76    0.148
    0.114   9.75917 0.14795
    0.11405 9.76167 0.147625
   17
    0.164   9.7675  0.147017
    0.16405 9.74667 0.14725
    0.1641  9.755   0.147467
    0.16415 9.75667 0.147567
    0.1642  9.76833 0.147608
    0.16425 9.76417 0.147692
    0.1643  9.75917 0.147783
    0.16435 9.76    0.147858
    0.1644  9.74917 0.14775
    0.16445 9.76917 0.147717
    0.1645  9.7625  0.147883
    0.16455 9.76083 0.147858
    0.1646  9.755   0.147508
    0.16465 9.75583 0.147358
    0.1647  9.76833 0.147575
    0.16475 9.75583 0.147458
    0.1648  9.76333 0.147275
    0.16485 9.75167 0.147108
    0.1649  9.76    0.147192
    0.16495 9.76167 0.147292
    0.165   9.76833 0.147425
    0.16505 9.76667 0.147383
    0.1651  9.74833 0.147617
    0.16515 9.76    0.147967
    0.1652  9.7575  0.147767
    0.16525 9.77167 0.147417
    0.1653  9.76333 0.147525
    0.16535 9.75833 0.147683
    0.1654  9.75667 0.147683
    0.16545 9.75    0.147608
    0.1655  9.76833 0.147433
    0.16555 9.765   0.147567
    0.1656  9.76167 0.147667
    0.16565 9.755   0.147592
    0.1657  9.75833 0.147367
    0.16575 9.7675  0.147583
    0.1658  9.75667 0.147725
    0.16585 9.76333 0.147433
    0.1659  9.75417 0.147325
    0.16595 9.7575  0.147467
    0.166   9.76333 0.147567
